"
Ministero dell'Istruzione - Ufficio Scolastico Regionale per la Sicilia
Catania;ISTITUTO COMPRENSIVO;CTIC8AY00E;"I.C.""GIUSEPPE RUSSO""";VIA ALDO MORO N.21/23;95014;020;GIARRE;CTIC8AY00E@istruzione.it;CTIC8AY00E@pec.istruzione.it;095931656;83000930871
Catania;ISTITUTO COMPRENSIVO;CTIC8AZ00A;"II IST. COMPRENSIVO ""S.G.BOSCO""";PIAZZA S.G. BOSCO, N. 1;95014;020;GIARRE;CTIC8AZ00A@istruzione.it;CTIC8AZ00A@pec.istruzione.it;095930760;92001680872
Catania;ISTITUTO COMPRENSIVO;CTIC8BA00A;I.C. GIOVANNI PAOLO   II;VICO MAJORANA, 3;95030;018;GRAVINA DI CATANIA;CTIC8BA00A@istruzione.it;CTIC8BA00A@pec.istruzione.it;0957446009;93229050872
Catania;ISTITUTO COMPRENSIVO;CTIC8BB006;I.C.  G.  VERGA CATANIA;VIA G.LEOPARDI 89/B;95127;014;CATANIA;CTIC8BB006@istruzione.it;CTIC8BB006@pec.istruzione.it;095387210;80013800877
Catania;ISTITUTO COMPRENSIVO;CTIC8BC002;"I.C.   ""G.FAVA""  MASCALUCIA";VIA TIMPARELLO,47;95030;018;MASCALUCIA;CTIC8BC002@istruzione.it;CTIC8BC002@pec.istruzione.it;0957277486;80022040879
Catania;ISTITUTO SUPERIORE;CTIS001009;IIS MICHELE AMARI;VIA PADRE AMBROGIO N.1;95014;020;GIARRE;CTIS001009@istruzione.it;CTIS001009@pec.istruzione.it;0956136480;83001130877
Catania;ISTITUTO SUPERIORE;CTIS00400R;IIS CUCUZZA - EUCLIDE;VIA MARIO SCELBA N. 5;95041;015;CALTAGIRONE;CTIS00400R@istruzione.it;CTIS00400R@pec.istruzione.it;093325598;91013680870
Catania;ISTITUTO SUPERIORE;CTIS00600C;IS ENRICO MEDI;VIA PAPA GIOVANNI PAOLO II;95036;021;RANDAZZO;CTIS00600C@istruzione.it;CTIS00600C@pec.istruzione.it;0956136730;83001470877
Catania;ISTITUTO SUPERIORE;CTIS007008;I.S.I.S. D. ABRUZZI POLITECNICO DEL MARE;VIALE ARTALE ALAGONA, 99;95126;014;CATANIA;CTIS007008@istruzione.it;CTIS007008@pec.istruzione.it;0956136225;80009570872
Catania;ISTITUTO SUPERIORE;CTIS008004;IS FILIPPO BRUNELLESCHI;VIA   GUICCIARDINI;95024;019;ACIREALE;CTIS008004@istruzione.it;CTIS008004@pec.istruzione.it;0956136005;81005960877
Catania;ISTITUTO SUPERIORE;CTIS00900X;IS VEN. IGNAZIO CAPIZZI;VIA UMBERTO N.279;95034;022;BRONTE;CTIS00900X@istruzione.it;CTIS00900X@pec.istruzione.it;0956136100;80011280874
Catania;ISTITUTO SUPERIORE;CTIS01100X;IISS BENEDETTO RADICE;VIA SARAJEVO,1;95034;022;BRONTE;CTIS01100X@istruzione.it;CTIS01100X@pec.istruzione.it;0956136120;80021890878
Catania;ISTITUTO SUPERIORE;CTIS01200Q;IS RAPISARDI PATERNO';VIA        DEGLI STUDI 1;95047;023;PATERNO';CTIS01200Q@istruzione.it;CTIS01200Q@pec.istruzione.it;0956136650;80012510873
Catania;ISTITUTO SUPERIORE;CTIS01300G;I.S. ITN-ITG-IPS  RIPOSTO;VIA    PIO LA TORRE, 1;95018;020;RIPOSTO;CTIS01300G@istruzione.it;CTIS01300G@pec.istruzione.it;0956136745;92015900878
Catania;ISTITUTO SUPERIORE;CTIS016003;FRANCESCO REDI;VIA LUCANIA   1;95047;023;PATERNO';CTIS016003@istruzione.it;CTIS016003@pec.istruzione.it;0956136679;93002880875
Catania;ISTITUTO SUPERIORE;CTIS01700V;IS G. B. VACCARINI;VIA        ORCHIDEA, 9;95123;012;CATANIA;CTIS01700V@istruzione.it;CTIS01700V@pec.istruzione.it;0956136235;80009410871
Catania;ISTITUTO SUPERIORE;CTIS023006;IS CARLO GEMMELLARO;CORSO  INDIPENDENZA,229;95122;066;CATANIA;CTIS023006@istruzione.it;CTIS023006@pec.istruzione.it;0956136250;80008610877
Catania;ISTITUTO SUPERIORE;CTIS024002;"IS ""C.A. DALLA CHIESA""";VIA        SANTA MARIA DI GESU' S.N.;95041;015;CALTAGIRONE;CTIS024002@istruzione.it;CTIS024002@pec.istruzione.it;0956136155;82002520870
Catania;ISTITUTO SUPERIORE;CTIS02600N;"I.I.S.LICEO ""C. MARCHESI"" CL./SC.";VIA CASE NUOVE S.N.;95030;018;MASCALUCIA;CTIS02600N@istruzione.it;CTIS02600N@pec.istruzione.it;0956136565;93151730871
Catania;ISTITUTO SUPERIORE;CTIS03300R;I.S.  G. FERRARIS;VIA TRAPANI N.4;95024;019;ACIREALE;CTIS03300R@istruzione.it;CTIS03300R@pec.istruzione.it;0956136030;81001950872
Catania;ISTITUTO SUPERIORE;CTIS03400L;I.S. DE FELICE GIUFFRIDA - OLIVETTI;PIAZZA     ROMA 4;95125;014;CATANIA;CTIS03400L@istruzione.it;CTIS03400L@pec.istruzione.it;0956136270;93030290873
Catania;ISTITUTO SUPERIORE;CTIS03800X;I.S.  E.FERMI - EREDIA;VIA PASSO GRAVINA 197;95125;012;CATANIA;CTIS03800X@istruzione.it;CTIS03800X@pec.istruzione.it;0956136400;93190600879
Catania;ISTITUTO SUPERIORE;CTIS03900Q;"I.I.S. ""E. FERMI - GUTTUSO""";VIA NUNZIO MACCARRONE, 4;95014;020;GIARRE;CTIS03900Q@istruzione.it;CTIS03900Q@pec.istruzione.it;0956136555;92030810870
Catania;ISTITUTO SUPERIORE;CTIS04200G;I.S.  RAMACCA - PALAGONIA;VIA FASTUCHERIA, 48;95040;017;RAMACCA;CTIS04200G@istruzione.it;CTIS04200G@pec.istruzione.it;095653329;91019770873
Catania;ISTITUTO SUPERIORE;CTIS04300B;MARCONI-MANGANO;VIA        VESCOVO MAURIZIO,82;95126;014;CATANIA;CTIS04300B@istruzione.it;CTIS04300B@pec.istruzione.it;0956136460;93198050879
Catania;ISTITUTO SUPERIORE;CTIS044007;GULLI E PENNISI;VIA MARIO ARCIDIACONO;95024;019;ACIREALE;CTIS044007@istruzione.it;CTIS044007@pec.istruzione.it;0956136040;90055030879
Catania;ISTITUTO SUPERIORE;CTIS04700P;I.S. SECUSIO CALTAGIRONE;VIA MADONNA DELLA VIA 5/A;95041;015;CALTAGIRONE;CTIS04700P@istruzione.it;CTIS04700P@pec.istruzione.it;0956136170;91028670874
Catania;ISTITUTO SUPERIORE;CTIS04900A;"I.S. ""MAJORANA-ARCOLEO""";VIA PIERSANTI MATTARELLA, 21;95041;015;CALTAGIRONE;CTIS04900A@istruzione.it;CTIS04900A@pec.istruzione.it;0956136180;91028680873
Catania;ISTITUTO SUPERIORE;CTIS05100A;"IIS ""ENRICO DE NICOLA""";VIA G. MOTTA N.87;95037;018;SAN GIOVANNI LA PUNTA;CTIS05100A@istruzione.it;CTIS05100A@pec.istruzione.it;0956136770;90064860878
Catania;ISTITUTO SUPERIORE;CTIS053002;LS LEONARDO;VIA  VENETO S.N.;95014;020;GIARRE;CTIS053002@istruzione.it;CTIS053002@pec.istruzione.it;00956136865;83000970877
Catania;SCUOLA PRIMO GRADO;CTMM00300T;SMS Q.MAIORANA - CATANIA;VIA        CESARE BECCARIA, 87;95123;012;CATANIA;CTMM00300T@istruzione.it;CTMM00300T@pec.istruzione.it;095448275;80012270874
Catania;SCUOLA PRIMO GRADO;CTMM029002;SMS D.ALIGHIERI - CATANIA;VIA        CAGLIARI            59;95127;014;CATANIA;CTMM029002@istruzione.it;CTMM029002@pec.istruzione.it;095438306;80013420874
Catania;SCUOLA PRIMO GRADO;CTMM064009;SMS  MARIO PLUCHINOTTA;VIA        MARLETTA;95030;018;SANT'AGATA LI BATTIATI;CTMM064009@istruzione.it;CTMM064009@pec.istruzione.it;095213583;80008990873
Catania;SCUOLA PRIMO GRADO;CTMM06700R;SMS RAFFAELLOSANZIO-TREMESTIERI;VIA  SAN MARCO, 03;95030;018;TREMESTIERI ETNEO;CTMM06700R@istruzione.it;CTMM06700R@pec.istruzione.it;095496093;80021700879
Catania;SCUOLA PRIMO GRADO;CTMM095001;SMS GIUSEPPE MAZZINI - ADRANO;VIA        IV NOVEMBRE, SN;95031;022;ADRANO;CTMM095001@istruzione.it;CTMM095001@pec.istruzione.it;0957692837;80012030872
Catania;SCUOLA PRIMO GRADO;CTMM099008;SMS LUIGI STURZO - BIANCAVILLA;VIA  CRISTOFORO COLOMBO  86;95033;022;BIANCAVILLA;CTMM099008@istruzione.it;CTMM099008@pec.istruzione.it;0957712012;80011580877
Catania;SCUOLA PRIMO GRADO;CTMM10300P;SMS N. MARTOGLIO -  BELPASSO;VIA SCUOLA MEDIA;95032;023;BELPASSO;CTMM10300P@istruzione.it;CTMM10300P@pec.istruzione.it;095912381;80014000873
Catania;SCUOLA PRIMO GRADO;CTMM106006;SMS VIRGILIO  -  PATERNO';VIA        DEGLI STUDI, 1;95047;023;PATERNO';CTMM106006@istruzione.it;CTMM106006@pec.istruzione.it;095858944;80011320878
Catania;SCUOLA PRIMO GRADO;CTMM119008;SMS L. CASTIGLIONE BRONTE;P.ZZA AVV. V.ZO CASTIGLIONE, 2;95034;022;BRONTE;CTMM119008@istruzione.it;CTMM119008@pec.istruzione.it;095691180;80011270875
Catania;CPIA;CTMM150008;CPIA CATANIA 1;VIA VELLETRI 28;95126;014;CATANIA;CTMM150008@istruzione.it;CTMM150008@pec.istruzione.it;0958259050;93203370874
Catania;CPIA;CTMM151004;CPIA CATANIA 2;VIALE LIBERTA', 151;95014;020;GIARRE;CTMM151004@istruzione.it;CTMM151004@pec.istruzione.it;3291041782;92032760875
Catania;LICEO CLASSICO;CTPC01000A;LC GIOVANNI VERGA;VIA S. D'ACQUISTO N. 16;95031;022;ADRANO;CTPC01000A@istruzione.it;CTPC01000A@pec.istruzione.it;0956136075;80012580876
Catania;LICEO CLASSICO;CTPC040006;"LC ""MARIO CUTELLI""";VIA FIRENZE 202;95128;014;CATANIA;CTPC040006@istruzione.it;CTPC040006@pec.istruzione.it;0956136280;80012480879
Catania;LICEO CLASSICO;CTPC070002;LC SPEDALIERI;PIAZZA ANNIBALE RICCO' S.N.;95124;012;CATANIA;CTPC070002@istruzione.it;CTPC070002@pec.istruzione.it;0956136290;80009390875
Catania;ISTITUTO MAGISTRALE;CTPM01000E;LICEO STATALE  FRANCESCO DE SANCTIS;VIA FOGAZZARO,18;95047;023;PATERNO';CTPM01000E@istruzione.it;CTPM01000E@pec.istruzione.it;0956136690;80008970875
Catania;ISTITUTO MAGISTRALE;CTPM020005;"LICEO STATALE ""G. TURRISI COLONNA""";VIA FABIO FILZI, 24;95124;012;CATANIA;CTPM020005@istruzione.it;CTPM020005@pec.istruzione.it;0956136300;80009130875
Catania;ISTITUTO MAGISTRALE;CTPM03000Q;LICEO STATALE LOMBARDO RADICE;VIA        IMPERIA 21;95128;014;CATANIA;CTPM03000Q@istruzione.it;CTPM03000Q@pec.istruzione.it;0956136310;80010640870
Catania;ISTITUTO MAGISTRALE;CTPM04000A;IM REGINA ELENA;VIA        COLLEGIO PENNISI, 13;95024;019;ACIREALE;CTPM04000A@istruzione.it;CTPM04000A@pec.istruzione.it;0956136050;81002530871
Catania;LICEO SCIENTIFICO;CTPS01000D;LS ARCHIMEDE;VIA  L. ARIOSTO, N.37;95024;019;ACIREALE;CTPS01000D@istruzione.it;CTPS01000D@pec.istruzione.it;0956136062;81002810877
Catania;LICEO SCIENTIFICO;CTPS020004;LS BOGGIO LERA;VIA        V. EMANUELE 346;95124;066;CATANIA;CTPS020004@istruzione.it;CTPS020004@pec.istruzione.it;0956136325;80011090877
Catania;LICEO SCIENTIFICO;CTPS03000P;LS FERMI;CORSO DEL POPOLO, N.1;95047;023;PATERNO';CTPS03000P@istruzione.it;CTPS03000P@pec.istruzione.it;09561367000;80011360874
Catania;LICEO SCIENTIFICO;CTPS040009;LS GALILEO GALILEI;VIA VESCOVO MAURIZIO  73 - 75;95126;014;CATANIA;CTPS040009@istruzione.it;CTPS040009@pec.istruzione.it;0956136345;80010300871
Catania;LICEO SCIENTIFICO;CTPS06000E;LICEO SCIENT/LINGUIST UMBERTO DI SAVOIA;VIA CHISARI, 8;95123;012;CATANIA;CTPS06000E@istruzione.it;CTPS06000E@pec.istruzione.it;0956136360;80009250871
Catania;LICEO SCIENTIFICO;CTPS10000Q;LICEO SC. MAJORANA S.G.LA PUNTA;VIA  G. MOTTA 87;95037;018;SAN GIOVANNI LA PUNTA;CTPS10000Q@istruzione.it;CTPS10000Q@pec.istruzione.it;0956136760;90001840876
Catania;LICEO SCIENTIFICO;CTPS170002;I.S. ETTORE MAJORANA LICEO SCIENTIFICO;VIA  LUIGI CAPUANA 36;95048;017;SCORDIA;CTPS170002@istruzione.it;CTPS170002@pec.istruzione.it;0956136790;
Catania;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;CTRH010007;IPSSAR GIOVANNI FALCONE;VIA        VENETO 4;95014;020;GIARRE;CTRH010007@istruzione.it;CTRH010007@pec.istruzione.it;0956136515;83001610878
Catania;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;CTRH03000C;I.P.S.S.E.O.A. KAROL WOJTYLA CATANIA;VIA GIOVANNI BATTISTA DE LA SALLE, 12;95125;066;CATANIA;CTRH03000C@istruzione.it;CTRH03000C@pec.istruzione.it;0956132060;93105070879
Catania;IST PROF PER I SERVIZI ALBERGHIERI E RISTORAZIONE;CTRH05000N;ROCCO CHINNICI;F.LLI GEMMELLARO, 86;95030;018;NICOLOSI;CTRH05000N@istruzione.it;CTRH05000N@pec.istruzione.it;0956136609;93128180879
Catania;ISTITUTO D'ARTE;CTSD02000E;"LICEO ARTISTICO STATALE  ""M.M. LAZZARO""";VIA GENERALE AMEGLIO, 15;95123;014;CATANIA;CTSD02000E@istruzione.it;CTSD02000E@pec.istruzione.it;0956136410;80008150874
Catania;LICEO ARTISTICO;CTSL01000A;"LICEO ARTISTICO "" EMILIO GRECO"" CATANIA";VIA MAVILLA, 37 - VICO BUONAFE', 9;95124;012;CATANIA;CTSL01000A@istruzione.it;CTSL01000A@pec.istruzione.it;0956136420;80012120871
Catania;ISTITUTO TECNICO AERONAUTICO;CTTB01000A;ITAER A. FERRARIN;VIA GALERMO, 172;95123;012;CATANIA;CTTB01000A@istruzione.it;CTTB01000A@pec.istruzione.it;0956136430;80013880879
Catania;ISTITUTO TECNICO COMMERCIALE;CTTD160007;"I.T.E.""GIOACCHINO RUSSO""";VIA PARINI,S.N.;95047;023;PATERNO';CTTD160007@istruzione.it;CTTD160007@pec.istruzione.it;0956136710;80013710878
Catania;IST TEC COMMERCIALE E PER GEOMETRI;CTTD18000C;PIETRO BRANCHINA;VIA PASQUALE SIMONE NERI 11;95031;022;ADRANO;CTTD18000C@istruzione.it;CTTD18000C@pec.istruzione.it;0956136090;80023260872
Catania;ISTITUTO TECNICO INDUSTRIALE;CTTF01000G;ISTITUTO TECNICO ARCHIMEDE;VIALE  REGINA MARGHERITA 22;95123;012;CATANIA;CTTF01000G@istruzione.it;CTTF01000G@pec.istruzione.it;0956136440;80006210878
Catania;ISTITUTO TECNICO INDUSTRIALE;CTTF03000R;ITI CANNIZZARO;VIA  CARLO PISACANE 1;95122;066;CATANIA;CTTF03000R@istruzione.it;CTTF03000R@pec.istruzione.it;0956136450;80008210876
Catania;CONVITTO NAZIONALE;CTVC01000N;MARIO CUTELLI;VIA VITTORIO EMANUELE, 56;95131;066;CATANIA;CTVC01000N@istruzione.it;CTVC01000N@pec.istruzione.it;0956136470;80007970876
Enna;DIREZIONE DIDATTICA;ENEE062002;DIREZ. DID. 2? CIRC. SAN FELICE;LARGO SAN VINCENZO N. 2;94014;026;NICOSIA;ENEE062002@istruzione.it;ENEE062002@pec.istruzione.it;0935647464;81001950864
Enna;DIREZIONE DIDATTICA;ENEE091002;BORGO   (TROINA);VIA GINO ABBATE N.16;94018;026;TROINA;ENEE091002@istruzione.it;ENEE091002@pec.istruzione.it;0935653671;81001750868
Enna;ISTITUTO COMPRENSIVO;ENIC80500Q;'E.PANTANO'   (ASSORO);VIA  PIETRO NENNI  1;94010;025;ASSORO;ENIC80500Q@istruzione.it;ENIC80500Q@pec.istruzione.it;0935667223;80002500868
Enna;ISTITUTO COMPRENSIVO;ENIC810007;VINCENZO GUARNACCIA;VIA MARCONI 12;94016;027;PIETRAPERZIA;ENIC810007@istruzione.it;ENIC810007@pec.istruzione.it;0934461069;91022410863
Enna;ISTITUTO COMPRENSIVO;ENIC81500A;SANTA CHIARA;PIAZZA VI DICEMBRE S.N.C.;94100;024;ENNA;ENIC81500A@istruzione.it;ENIC81500A@pec.istruzione.it;0935503290;91049500860
Enna;ISTITUTO COMPRENSIVO;ENIC816006;G.F.INGRASSIA;VIA MONS. PIEMONTE N.2;94017;025;REGALBUTO;ENIC816006@istruzione.it;ENIC816006@pec.istruzione.it;0935910031;80002480863
Enna;ISTITUTO COMPRENSIVO;ENIC817002;G.MAZZINI;VIA MAZZINI 133;94019;027;VALGUARNERA CAROPEPE;ENIC817002@istruzione.it;ENIC817002@pec.istruzione.it;0935956259;91049620866
Enna;ISTITUTO COMPRENSIVO;ENIC81800T;DON BOSCO;VIA R.SANZIO,N.21;94018;026;TROINA;ENIC81800T@istruzione.it;ENIC81800T@pec.istruzione.it;0935657806;81001110865
Enna;ISTITUTO COMPRENSIVO;ENIC81900N;G. GIUSTI SINOPOLI;PIAZZA EUROPA, 4;94011;025;AGIRA;ENIC81900N@istruzione.it;ENIC81900N@pec.istruzione.it;0935691021;91049610867
Enna;ISTITUTO COMPRENSIVO;ENIC82000T;F. P. NEGLIA - N. SAVARESE;VIA CIVILTA' DEL LAVORO, 4;94100;024;ENNA;ENIC82000T@istruzione.it;ENIC82000T@pec.istruzione.it;093541592;91052110862
Enna;ISTITUTO COMPRENSIVO;ENIC82100N;E.DE AMICIS;VIA LIBERTA' 36;94100;024;ENNA;ENIC82100N@istruzione.it;ENIC82100N@pec.istruzione.it;093537494;91052140869
Enna;ISTITUTO COMPRENSIVO;ENIC82200D;DANTE ALIGHIERI;VIA RESISTENZA N.1;94013;026;LEONFORTE;ENIC82200D@istruzione.it;ENIC82200D@pec.istruzione.it;0935901114;91052240867
Enna;ISTITUTO COMPRENSIVO;ENIC823009;EUROPA    (BARRAFRANCA);CORSO GARIBALDI N. 420;94012;027;BARRAFRANCA;ENIC823009@istruzione.it;ENIC823009@pec.istruzione.it;0934464273;91052050860
Enna;ISTITUTO COMPRENSIVO;ENIC824005;"""S.G.BOSCO""  (BARRAFRANCA)";VIA MAZZINI 62;94012;027;BARRAFRANCA;ENIC824005@istruzione.it;ENIC824005@pec.istruzione.it;0934464274;91003950861
Enna;ISTITUTO COMPRENSIVO;ENIC825001;CHINNICI-RONCALLI;VIA PETRARCA SNC;94015;027;PIAZZA ARMERINA;ENIC825001@istruzione.it;ENIC825001@pec.istruzione.it;0935680688;91057550864
Enna;ISTITUTO COMPRENSIVO;ENIC82600R;FALCONE-CASCINO;VIA GEN. CIANCIO N.15;94015;027;PIAZZA ARMERINA;ENIC82600R@istruzione.it;ENIC82600R@pec.istruzione.it;0935682023;91057560863
Enna;ISTITUTO COMPRENSIVO;ENIC82700L;CARMINE DI NICOSIA;PIAZZA MARCONI 6;94014;026;NICOSIA;ENIC82700L@istruzione.it;ENIC82700L@pec.istruzione.it;0935638702;91065940867
Enna;ISTITUTO COMPRENSIVO;ENIC82800C;"I. C. ""FERMI-LEOPARDI""";VIA G. LEOPARDI, 12;94010;025;CENTURIPE;ENIC82800C@istruzione.it;ENIC82800C@pec.istruzione.it;0935917121;91065930868
Enna;ISTITUTO SUPERIORE;ENIS00200C;GIOVANNI FALCONE - BARRAFRANCA;VIA PIO LA TORRE 11;94012;027;BARRAFRANCA;ENIS00200C@istruzione.it;ENIS00200C@pec.istruzione.it;0934468353;91003830865
Enna;ISTITUTO SUPERIORE;ENIS004004;"""FEDERICO II"" - ENNA";VIA        NICOSIA, 2;94100;024;ENNA;ENIS004004@istruzione.it;ENIS004004@pec.istruzione.it;0935500924;80006370862
Enna;ISTITUTO SUPERIORE;ENIS00600Q;ALESSANDRO VOLTA - NICOSIA;VIALE VITTORIO VENETO 59;94014;026;NICOSIA;ENIS00600Q@istruzione.it;ENIS00600Q@pec.istruzione.it;0935639815;81000950865
Enna;ISTITUTO SUPERIORE;ENIS00700G;E. MAIORANA - GEN. A.CASCINO - P. ARM.;PIAZZA SENATORE MARESCALCHI;94015;027;PIAZZA ARMERINA;ENIS00700G@istruzione.it;ENIS00700G@pec.istruzione.it;0935683659;80001140864
Enna;ISTITUTO SUPERIORE;ENIS00800B;FORTUNATO   FEDELE - AGIRA;PIAZZA     EUROPA;94011;025;AGIRA;ENIS00800B@istruzione.it;ENIS00800B@pec.istruzione.it;0935691529;80003690866
Enna;ISTITUTO SUPERIORE;ENIS011007;NAPOLEONE COLAJANNI;VIA VALVERDE 1;94100;024;ENNA;ENIS011007@istruzione.it;ENIS011007@pec.istruzione.it;0935531716;91022680861
Enna;ISTITUTO SUPERIORE;ENIS017006;LEONARDO DA VINCI - PIAZZA ARMERINA;VIA    VITTORIO    ALFIERI N.6;94015;027;PIAZZA ARMERINA;ENIS017006@istruzione.it;ENIS017006@pec.istruzione.it;0935682124;91049790867
Enna;ISTITUTO SUPERIORE;ENIS018002;"""ENRICO MEDI"" - LEONFORTE";VIA ANTONIO VIVALDI 2;94013;026;LEONFORTE;ENIS018002@istruzione.it;ENIS018002@pec.istruzione.it;0935901070;91052100863
Enna;ISTITUTO SUPERIORE;ENIS01900T;"""FRATELLI TESTA"" - NICOSIA";VIALE ITRIA N. 2-2/A;94014;026;NICOSIA;ENIS01900T@istruzione.it;ENIS01900T@pec.istruzione.it;0935647258;91052080867
Enna;ISTITUTO SUPERIORE;ENIS02100T;"""ABRAMO LINCOLN"" - ENNA";VIA SALVATORE MAZZA, 3/5;94100;024;ENNA;ENIS02100T@istruzione.it;ENIS02100T@pec.istruzione.it;0935531402;91052200861
Enna;LICEO SCIENTIFICO;ENPS01000R;LS PIETRO FARINATO - ENNA;VIALE DIAZ, 61;94100;024;ENNA;ENPS01000R@istruzione.it;ENPS01000R@pec.istruzione.it;093526865;80000420861
Messina;DIREZIONE DIDATTICA;MEEE06000T;DIR.DID.S.TERESA RIVA;VIA F. CRISPI 435;98028;036;SANTA TERESA DI RIVA;MEEE06000T@istruzione.it;MEEE06000T@pec.istruzione.it;0942791410;80007120837
Messina;ISTITUTO COMPRENSIVO;MEIC813006;IC CAPIZZI - CESARO';VIA  ROMA 10;98031;030;CAPIZZI;MEIC813006@istruzione.it;MEIC813006@pec.istruzione.it;0935933022;80012730836
Messina;ISTITUTO COMPRENSIVO;MEIC814002;TUSA;VIA ROMA N. 1;98079;030;TUSA;MEIC814002@istruzione.it;MEIC814002@pec.istruzione.it;0921330044;93002960834
Messina;ISTITUTO COMPRENSIVO;MEIC81600N;I. C. NOVARA DI SICILIA;VIA MICHELANGELO, 32;98058;038;NOVARA DI SICILIA;MEIC81600N@istruzione.it;MEIC81600N@pec.istruzione.it;0941650032;83001610837
Messina;ISTITUTO COMPRENSIVO;MEIC81700D;LIPARI;VIA  CARNEVALE;98055;037;LIPARI;MEIC81700D@istruzione.it;MEIC81700D@pec.istruzione.it;0909887714;81001370832
Messina;ISTITUTO COMPRENSIVO;MEIC818009;ISOLE EOLIE;VIA STRADALE;98055;037;LIPARI;MEIC818009@istruzione.it;MEIC818009@pec.istruzione.it;0909812222;81001350834
Messina;ISTITUTO COMPRENSIVO;MEIC819005;IC VILLAFRANCA TIRRENA;VIA  SAN GIUSEPPE CALASANZIO, 17;98049;037;VILLAFRANCA TIRRENA;MEIC819005@istruzione.it;MEIC819005@pec.istruzione.it;090334517;97105960831
Messina;ISTITUTO COMPRENSIVO;MEIC820009;"I.C.""STEFANO D'ARRIGO"" VENETICO";VIA  NAZIONALE;98040;037;VENETICO;MEIC820009@istruzione.it;MEIC820009@pec.istruzione.it;0909943168;92013250839
Messina;ISTITUTO COMPRENSIVO;MEIC822001;"N.15 ME ""VITTORINI""";VIA  COMUNALE - SS. ANNUNZIATA;98168;028;MESSINA;MEIC822001@istruzione.it;MEIC822001@pec.istruzione.it;090356387;97062170838
Messina;ISTITUTO COMPRENSIVO;MEIC82400L;I.C. D'ALCONTRES;VIA  SAN VITO, 29;98051;038;BARCELLONA POZZO DI GOTTO;MEIC82400L@istruzione.it;MEIC82400L@pec.istruzione.it;0909761049;90008820830
Messina;ISTITUTO COMPRENSIVO;MEIC82500C;I.C. FOSCOLO;PIAZZA  S. ANTONINO;98051;038;BARCELLONA POZZO DI GOTTO;MEIC82500C@istruzione.it;MEIC82500C@pec.istruzione.it;0909702519;90008810831
Messina;ISTITUTO COMPRENSIVO;MEIC826008;ACQUEDOLCI;VIA A. DIAZ, 66;98070;031;ACQUEDOLCI;MEIC826008@istruzione.it;MEIC826008@pec.istruzione.it;0941726102;95008820839
Messina;ISTITUTO COMPRENSIVO;MEIC827004;I.C. B.GENOVESE;VIA IMMACOLATA 278;98051;038;BARCELLONA POZZO DI GOTTO;MEIC827004@istruzione.it;MEIC827004@pec.istruzione.it;0909797427;90000220831
Messina;ISTITUTO COMPRENSIVO;MEIC83000X;"I. C.  N. 2 ""GIOVANNI PAOLO II""";VIA TORRENTE FORNO, 58;98071;032;CAPO D'ORLANDO;MEIC83000X@istruzione.it;MEIC83000X@pec.istruzione.it;0941426051;95008810830
Messina;ISTITUTO COMPRENSIVO;MEIC83200G;I.C. ROCCALUMERA;VIA CAMINITI A.;98027;036;ROCCALUMERA;MEIC83200G@istruzione.it;MEIC83200G@pec.istruzione.it;0942744138;97106020833
Messina;ISTITUTO COMPRENSIVO;MEIC83300B;I.C. GIARDINI;VIA LUIGI RIZZO, 26;98035;035;GIARDINI-NAXOS;MEIC83300B@istruzione.it;MEIC83300B@pec.istruzione.it;09425780513;96011150834
Messina;ISTITUTO COMPRENSIVO;MEIC834007;IST. COMPR. N. 1 CAPO D'ORLANDO;VIA ROMA, 20/B;98071;032;CAPO D'ORLANDO;MEIC834007@istruzione.it;MEIC834007@pec.istruzione.it;0941426696;84004640839
Messina;ISTITUTO COMPRENSIVO;MEIC835003;FRANCAVILLA SICILIA;VIA NAPOLI, 2;98034;034;FRANCAVILLA DI SICILIA;MEIC835003@istruzione.it;MEIC835003@pec.istruzione.it;0942981230;96005620834
Messina;ISTITUTO COMPRENSIVO;MEIC83700P;ALI' TERME;VIA MARIA TERESA FEDERICO S.N.C.;98021;036;ALI' TERME;MEIC83700P@istruzione.it;MEIC83700P@pec.istruzione.it;0942716646;97105820837
Messina;ISTITUTO COMPRENSIVO;MEIC83800E;CASTELL'UMBERTO;VIA CRISPI;98070;032;CASTELL'UMBERTO;MEIC83800E@istruzione.it;MEIC83800E@pec.istruzione.it;0941438055;95008750838
Messina;ISTITUTO COMPRENSIVO;MEIC83900A;BROLO;VIA  ROMA;98061;032;BROLO;MEIC83900A@istruzione.it;MEIC83900A@pec.istruzione.it;0941561503;94007200838
Messina;ISTITUTO COMPRENSIVO;MEIC842006;PACE DEL MELA;VIA  G. DI VITTORIO 34;98042;037;PACE DEL MELA;MEIC842006@istruzione.it;MEIC842006@pec.istruzione.it;0909339059;82002540837
Messina;ISTITUTO COMPRENSIVO;MEIC84400T;ANNA RITA SIDOTI;VIA CALVARIO;98063;033;GIOIOSA MAREA;MEIC84400T@istruzione.it;MEIC84400T@pec.istruzione.it;0941301121;94007260832
